nombre,region,latitud,longitud,altura,codigo_parroquia,Latitude, Longitude, Elevation, HorasDisconfort
COLUMBE, Sierra, -1.9, -78.8, 3695, 60352, -1.86,  -78.78,  3695.00,  6287\n
COMPUD, Sierra, -2.4, -78.9, 2791, 60552, -2.36,  -78.93,  2791.00,  5501\n
CONCEPCION, Costa, 1, -78.8, 21, 80256, 1.04,  -78.85,  21.00,  2360\n
CONCEPCION1, , 0.7, -78.1, 2793, 40451, 0.66,  -78.11,  2793.00,  5223\n
CONOCOTO, Sierra, -0.3, -78.5, 2526, 170156, -0.29,  -78.48,  2526.00,  5130\n
CONONACO, Oriente, -1.1, -76.1, 244, 220252, -1.05,  -76.07,  244.00,  2749\n
CONSTANTINO_FERNANDEZ_(CAB_EN_CULLITAHUA), Sierra, -1.2, -78.6, 3049, 180154, -1.19,  -78.64,  3049.00,  5723\n
CONVENTO, Costa, -0.2, -80, 214, 130353, -0.24,  -80.00,  214.00,  2144\n
COPAL, Oriente, -2.8, -78.5, 2006, 140551, -2.77,  -78.50,  2006.00,  5215\n
CORDONCILLO, Costa, -3.6, -79.6, 1969, 70352, -3.56,  -79.63,  1969.00,  4121\n
CORONEL_MARCELINO_MARIDUENNA_(SAN_CARLOS), Costa, -2.2, -79.4, 45, 92350, -2.24,  -79.38,  45.00,  2433\n
COSANGA, Oriente, -0.6, -78, 3266, 150751, -0.58,  -77.96,  3266.00,  6150\n
COTACACHI, Sierra, 0.3, -78.3, 2669, 100350, 0.31,  -78.30,  2669.00,  5199\n
COTALO, Sierra, -1.4, -78.5, 2229, 180753, -1.44,  -78.51,  2229.00,  5182\n
COTOGCHOA, Sierra, -0.4, -78.5, 3005, 170551, -0.41,  -78.46,  3005.00,  5145\n
COTUNDO, Oriente, -0.7, -77.8, 1327, 150352, -0.70,  -77.83,  1327.00,  4590\n
CRISTOBAL_COLON, Sierra, 0.6, -77.8, 2802, 40551, 0.61,  -77.81,  2802.00,  5309\n
CRNEL_CARLOS_CONCHA_TORRES_(CAB_EN_HUELE), Costa, 0.7, -79.7, 358, 80153, 0.67,  -79.72,  358.00,  3038\n
CRNEL_LORENZO_DE_GARAICOA_(PEDREGAL), Costa, -2.1, -79.4, 40, 92251, -2.06,  -79.37,  40.00,  2449\n
CRUCITA, Costa, -0.9, -80.5, 114, 130153, -0.89,  -80.53,  114.00,  2028\n
CRUZPAMBA_(CAB_EN_CARLOS_BUSTAMANTE), Sierra, -4.2, -80, 1018, 110451, -4.17,  -80.02,  1018.00,  3892\n
CUBE, Costa, 0.5, -79.7, 445, 80451, 0.49,  -79.67,  445.00,  3278\n
CUBIJIES, Sierra, -1.7, -78.6, 2738, 60153, -1.66,  -78.60,  2738.00,  5401\n
