nombre,region,latitud,longitud,altura,codigo_parroquia
GRAL_VERNAZA_(DOS_ESTEROS)                                                                          ,Costa               ,-1.8,-79.8,7, 91951              
GUACHANAMA                                                                                          ,Sierra              ,-4,-79.9,2676, 110952             
GUACHAPALA                                                                                          ,Sierra              ,-2.8,-78.7,2375, 11450              
GUADALUPE                                                                                           ,Oriente             ,-3.9,-78.9,997, 190152             
GUAITACAMA_(GUAYTACAMA)                                                                             ,Sierra              ,-0.8,-78.6,2900, 50153              
GUALACEO                                                                                            ,Sierra              ,-2.9,-78.8,2454, 10350              
GUALAQUIZA                                                                                          ,Oriente             ,-3.3,-78.6,1578, 140250             
GUALE                                                                                               ,Costa               ,-1.6,-80.3,64, 131053             
GUALEA                                                                                              ,Sierra              ,0.1,-78.8,1324, 170161             
GUALEL                                                                                              ,Sierra              ,-3.8,-79.4,2580, 110154             
GUALLETURO                                                                                          ,Sierra              ,-2.6,-79.1,3739, 30354              
GUAMBALO_(HUAMBALO)                                                                                 ,Sierra              ,-1.4,-78.5,2966, 180757             
GUAMOTE                                                                                             ,Sierra              ,-2,-78.7,3596, 60650              
GUANANDO                                                                                            ,Sierra              ,-1.5,-78.5,2492, 60751              
GUANAZAN                                                                                            ,Costa               ,-3.4,-79.5,2941, 71353              
GUANGAJE                                                                                            ,Sierra              ,-0.9,-78.8,3642, 50453              
GUANGOPOLO                                                                                          ,Sierra              ,-0.3,-78.4,2526, 170162             
GUANO                                                                                               ,Sierra              ,-1.6,-78.6,2661, 60750              
GUAPAN                                                                                              ,Sierra              ,-2.7,-78.8,3236, 30153              
GUARAINAG                                                                                           ,Sierra              ,-2.7,-78.6,2739, 10556              
GUARANDA                                                                                            ,Sierra              ,-1.5,-79,3170, 20150              
GUARE                                                                                               ,Costa               ,-1.6,-79.7,14, 120251             
GUASAGANDA_(CAB_EN_GUASAGANDA_CENTRO)                                                               ,Sierra              ,-0.8,-79.1,1466, 50251              
GUASUNTOS                                                                                           ,Sierra              ,-2.2,-78.8,2793, 60253              
GUAYAQUIL                                                                                           ,Costa               ,-2.3,-80,11, 90150              
GUAYAS_(PUEBLO_NUEVO)                                                                               ,Costa               ,-0.9,-79.6,75, 90851              
GUAYLLABAMBA                                                                                        ,Sierra              ,-0.1,-78.3,2146, 170163             
GUAYQUICHUMA                                                                                        ,Sierra              ,-3.9,-79.5,2164, 110352             
GUAYZIMI                                                                                            ,Oriente             ,-4.1,-78.7,941, 190350             
GUEL                                                                                                ,Sierra              ,-3,-78.8,2657, 10953              
GUIZHAGUINNA                                                                                        ,Costa               ,-3.7,-79.5,2341, 71354              
HONORATO_VASQUEZ_(CAB_EN_VASQUEZ)                                                                   ,Costa               ,-1.1,-80.1,185, 131352             
HONORATO_VASQUEZ_(TAMBO_VIEJO)                                                                      ,Sierra              ,-2.6,-78.9,3102, 30355              
HUACA                                                                                               ,Sierra              ,0.6,-77.7,2915, 40650              
HUACHI_GRANDE                                                                                       ,Sierra              ,-1.3,-78.6,2896, 180155             
HUAMBI                                                                                              ,Oriente             ,-2.6,-78.1,924, 140652             
HUAMBOYA                                                                                            ,Oriente             ,-1.9,-77.9,951, 140750             
HUAQUILLAS                                                                                          ,Costa               ,-3.5,-80.2,1, 70750              
HUASAGA_(CAB_EN_WAMPUIK)                                                                            ,Oriente             ,-2.5,-77,285, 140951             
HUERTAS                                                                                             ,Costa               ,-3.6,-79.6,1878, 71355              
HUIGRA                                                                                              ,Sierra              ,-2.3,-79,2256, 60254              
ILAPO                                                                                               ,Sierra              ,-1.5,-78.6,3260, 60752              
IMANTAG                                                                                             ,Sierra              ,0.4,-78.3,3902, 100353             
IMBANA_(LA_VICTORIA_DE_IMBANA)                                                                      ,Oriente             ,-3.8,-79.1,1970, 190153             
IMBAYA_(SAN_LUIS_DE_COBUENDO)                                                                       ,Sierra              ,0.4,-78.2,2060, 100251             
INDANZA                                                                                             ,Oriente             ,-3.1,-78.5,1259, 140351             
INES_ARANGO_(CAB_EN_WESTERN)                                                                        ,Oriente             ,-1,-76.8,315, 220157             
INGAPIRCA                                                                                           ,Sierra              ,-2.5,-78.8,3460, 30356              
ISIDRO_AYORA                                                                                        ,Costa               ,-2,-80.2,51, 92850              
ISINLIVI                                                                                            ,Sierra              ,-0.8,-78.9,3265, 50752              
ISLA_DE_BEJUCAL                                                                                     ,Costa               ,-1.7,-79.6,5, 120252             
ISLA_SANTA_MARIA_(FLOREANA)_(CAB_EN_PTO_VELASCO_IBAR                                                ,                    ,-1.2,-90.2,1000, 200152             
IZAMBA                                                                                              ,Sierra              ,-1.2,-78.6,2610, 180156             
JADAN                                                                                               ,Sierra              ,-2.9,-78.9,2946, 10353              
JAMA                                                                                                ,Costa               ,-0.2,-80.2,95, 132050             
JAMBELI                                                                                             ,Oriente             ,-3.4,-80.1,0, 71252              
JAMBELI1                                                                                            ,                    ,0.2,-77.1,365, 210157             
JARAMIJO                                                                                            ,Costa               ,-1,-80.6,46, 132150             
JAVIER_LOYOLA_(CHUQUIPATA)                                                                          ,Sierra              ,-2.8,-78.9,2520, 30154              
JERUSALEN                                                                                           ,Sierra              ,-2.7,-79,3414, 30254              
JESUS_MARIA                                                                                         ,Costa               ,-2.6,-79.5,23, 91151              
JIJON_Y_CAAMANNO_(CAB_EN_RIO_BLANCO)                                                                ,Sierra              ,0.8,-78.3,1667, 40452              
JIMBILLA                                                                                            ,Sierra              ,-3.9,-79.2,2231, 110155             
JIMBURA                                                                                             ,Sierra              ,-4.7,-79.4,2593, 110652             
JIPIJAPA                                                                                            ,Costa               ,-1.3,-80.6,376, 130650             
JOSEGUANGO_BAJO                                                                                     ,Sierra              ,-0.8,-78.6,2905, 50154              
JOSE_LUIS_TAMAYO_(MUEY)                                                                             ,Costa               ,-2.3,-80.9,19, 240352             
JUAN_BAUTISTA_AGUIRRE_(LOS_TINTOS)                                                                  ,Costa               ,-1.9,-79.9,2, 90652              
JUAN_BENIGNO_VELA                                                                                   ,Sierra              ,-1.3,-78.7,3431, 180157             
JUAN_DE_VELASCO_(PANGOR)                                                                            ,Sierra              ,-1.9,-78.9,3531, 60353              
JUAN_GOMEZ_RENDON_(PROGRESO)                                                                        ,Costa               ,-2.4,-80.3,100, 90152              
JUAN_MONTALVO_(SAN_IGNACIO_DE_QUIL)                                                                 ,Sierra              ,0.6,-78.1,2156, 40453              
JULCUY                                                                                              ,Costa               ,-1.5,-80.6,236, 130653             
JULIO_ANDRADE_(OREJUELA)                                                                            ,Sierra              ,0.7,-77.7,3039, 40153              
JULIO_E_MORENO_(CATANAHUAN_GRANDE)                                                                  ,Sierra              ,-1.6,-79.1,2057, 20153              
JUNCAL                                                                                              ,Sierra              ,-2.4,-78.9,3910, 30357              
JUNIN                                                                                               ,Costa               ,-0.9,-80.2,63, 130750             
JUNQUILLAL                                                                                          ,Costa               ,-1.7,-79.9,5, 91953              
LAGARTO                                                                                             ,Costa               ,1,-79.2,86, 80753              
LAGO_SAN_PEDRO                                                                                      ,Oriente             ,-0.2,-76.9,301, 220355             
LARAMA                                                                                              ,Sierra              ,-4.3,-79.9,1165, 110851             
LASCANO                                                                                             ,Costa               ,-1.5,-80.3,96, 131054             
LAS_GOLONDRINAS                                                                                     ,Costa               ,0.3,-79.1,356, 900151             
LAS_NAVES                                                                                           ,Sierra              ,-1.3,-79.3,426, 20750              
LAS_NIEVES_(CHAYA)                                                                                  ,Sierra              ,-3.3,-79.2,3251, 10453              
LAS_PAMPAS                                                                                          ,Sierra              ,-0.5,-79,1469, 50753              
LATACUNGA                                                                                           ,Sierra              ,-0.9,-78.5,3154, 50150              
LAUREL                                                                                              ,Costa               ,-1.8,-79.9,3, 90653              
LAURO_GUERRERO                                                                                      ,Sierra              ,-3.9,-79.8,1904, 110954             
LA_AVANZADA                                                                                         ,Costa               ,-3.6,-79.9,142, 71253              
LA_BELLEZA                                                                                          ,Oriente             ,-0.8,-77.1,340, 220158             
LA_BOCANA                                                                                           ,Costa               ,-3.7,-79.9,269, 71052              
LA_BONITA                                                                                           ,Oriente             ,0.5,-77.6,2599, 210550             
LA_CANDELARIA                                                                                       ,Sierra              ,-1.6,-78.4,3902, 60955              
LA_CANELA                                                                                           ,Oriente             ,-4.7,-78.9,2192, 190854             
LA_CHONTA                                                                                           ,Oriente             ,-4.9,-79.1,1300, 190254             
LA_CONCORDIA                                                                                        ,Costa               ,-0,-79.4,226, 80850              
LA_ESPERANZA                                                                                        ,Sierra              ,0.3,-78.1,2851, 100154             
LA_ESPERANZA1                                                                                       ,                    ,0.1,-78.3,3023, 170451             
LA_ESPERANZA2                                                                                       ,                    ,-1,-79.4,100, 120555             
LA_IBERIA                                                                                           ,Costa               ,-3.2,-79.9,14, 70652              
LA_JOYA_DE_LOS_SACHAS                                                                               ,Oriente             ,-3.1,-76.8,268,220350              
LA_LIBERTAD                                                                                         ,Costa               ,-2.2,-80.9,29, 240250             
LA_LIBERTAD1                                                                                        ,                    ,-3.9,-80.1,799, 71451              
LA_LIBERTAD_(ALIZO)                                                                                 ,Sierra              ,0.7,-78,3534, 40352              
LA_MANA                                                                                             ,Sierra              ,-0.9,-79.2,225, 50250              
LA_MERCED                                                                                           ,Sierra              ,-0.3,-78.4,2540, 170164             
LA_MERCED_DE_BUENOS_AIRES                                                                           ,Sierra              ,0.6,-78.4,2287, 100652             
LA_PAZ                                                                                              ,Sierra              ,0.5,-77.8,2700, 40554              
LA_PAZ1                                                                                             ,                    ,-3.8,-79,1391, 190451             
LA_PEANNA                                                                                           ,Costa               ,-3.3,-79.9,21, 70953              
LA_PILA                                                                                             ,Costa               ,-1.1,-80.6,253, 130952             
LA_PROVIDENCIA                                                                                      ,Sierra              ,-1.6,-78.5,2612, 60753              
LA_SOFIA                                                                                            ,Oriente             ,0.3,-77.7,2101, 210552             
LA_TINGUE                                                                                           ,Sierra              ,-3.9,-79.6,1369, 111651             
LA_TOLA                                                                                             ,Costa               ,1.1,-79.1,6, 80254              
LA_TRONCAL                                                                                          ,Sierra              ,-2.4,-79.3,98, 30450              
LA_UNION                                                                                            ,Costa               ,-2.9,-78.8,2938, 11152              
LA_UNION1                                                                                           ,                    ,-1.7,-79.4,11, 120155             
LA_UNION2                                                                                           ,                    ,0.2,-79.4,163, 80455              
LA_UNION3                                                                                           ,                    ,-1.4,-80.5,468, 130654             
LA_UNION4                                                                                           ,                    ,0.7,-79.8,140, 80651              
LA_UNION5                                                                                           ,                    ,-1.2,-80.2,75, 131353             
LA_VICTORIA                                                                                         ,Sierra              ,-0.9,-78.7,3017, 50455              
LA_VICTORIA1                                                                                        ,                    ,-3.8,-80.1,442, 71450              
LA_VICTORIA2                                                                                        ,                    ,-4.5,-79.8,1550, 110852             
LA_VICTORIA_(NNAUZA)                                                                                ,Costa               ,-1.9,-79.7,8, 91952              
LICAN                                                                                               ,Sierra              ,-1.6,-78.7,2978, 60155              
LICTO                                                                                               ,Sierra              ,-1.8,-78.6,2986, 60156              
LIMONAL                                                                                             ,Costa               ,-1.8,-80,5, 90654              
LIMONCOCHA                                                                                          ,Oriente             ,-0.4,-76.5,258, 210451             
LIMONES                                                                                             ,Sierra              ,-4.4,-80.4,229, 111353             
LINARES                                                                                             ,Oriente             ,-0.4,-77.7,2560, 150452             
LITA                                                                                                ,Sierra              ,0.8,-78.4,1521, 100155             
LLACAO                                                                                              ,Sierra              ,-2.8,-78.9,2541, 10156              
LLAGOS                                                                                              ,Sierra              ,-2.4,-79,2817, 60554              
LLANO_CHICO                                                                                         ,Sierra              ,-0.1,-78.4,2601, 170165             
LLIGUA                                                                                              ,Sierra              ,-1.4,-78.4,2416, 180251             
LLOA                                                                                                ,Sierra              ,-0.2,-78.7,2752, 170166             
LLUZHAPA                                                                                            ,Sierra              ,-3.5,-79.3,2398, 111153             
LOGRONNO                                                                                            ,Oriente             ,-2.6,-78.2,672, 141050             
LOJA                                                                                                ,Sierra              ,-4,-79.2,2071, 110150             
LOMAS_DE_SARGENTILLO                                                                                ,Costa               ,-1.9,-80.1,14, 92450              
LORETO                                                                                              ,Oriente             ,-0.7,-77.3,402, 220450             
LOS_ANDES                                                                                           ,Sierra              ,0.5,-78,2634, 40252              
LOS_ANDES_(CAB_EN_POATUG)                                                                           ,Sierra              ,-1.2,-78.5,2952, 180552             
LOS_ENCUENTROS                                                                                      ,Oriente             ,-3.8,-78.6,1504, 190553             
LOS_LOJAS_(ENRIQUE_BAQUERIZO_MORENO)                                                                ,Costa               ,-2,-79.9,3, 90656              
LUDO                                                                                                ,Sierra              ,-3.1,-78.9,2733, 10954              
LUIS_CORDERO                                                                                        ,Sierra              ,-2.7,-78.8,2831, 30155              
LUIS_CORDERO_VEGA                                                                                   ,Sierra              ,-2.9,-78.7,3449, 10359              
LUIS_GALARZA_ORELLANA_(CAB_EN_DELEGSOL)                                                             ,Sierra              ,-3,-78.7,3443, 11153              
LUIS_VARGAS_TORRES_(CAB_EN_PLAYA_DE_ORO)                                                            ,Costa               ,0.6,-78.7,749, 80255              
LUMBAQUI                                                                                            ,Oriente             ,0.1,-77.4,522, 210250             
LUZ_DE_AMERICA                                                                                      ,Sierra              ,-0.5,-79.3,231, 230153             
MACARA                                                                                              ,Sierra              ,-4.3,-80,629, 110850             
MACAS                                                                                               ,Oriente             ,-2.3,-78.2,1309, 140150             
MACHACHI                                                                                            ,Sierra              ,-0.6,-78.5,3897, 170350             
MACHALA                                                                                             ,Costa               ,-3.3,-79.9,9, 70150              
MACHALILLA                                                                                          ,Costa               ,-1.5,-80.7,155, 131951             
MACUMA                                                                                              ,Oriente             ,-2.2,-77.7,599, 140952             
MADRE_TIERRA                                                                                        ,Oriente             ,-1.6,-78,870, 160251             
MAGDALENA_(CHAPACOTO)                                                                               ,Sierra              ,-1.7,-79.1,2719, 20353              
MAJUA                                                                                               ,Costa               ,0.7,-79.5,92, 80159              
MALACATOS_(VALLADOLID)                                                                              ,Sierra              ,-4.2,-79.2,1935, 110156             
MALCHINGUI                                                                                          ,Sierra              ,0,-78.4,2624, 170452             
MALDONADO                                                                                           ,Costa               ,0.8,-78,2590, 40154              
MALDONADO1                                                                                          ,                    ,1,-78.9,29, 80256              
MALIMPIA                                                                                            ,Costa               ,0.4,-79.2,172, 80453              
MALVAS                                                                                              ,Costa               ,-3.7,-79.6,1098, 71356              
MANGAHURCO_(CAZADEROS)                                                                              ,Sierra              ,-4.1,-80.4,763, 111351             
MANGA_DEL_CURA                                                                                      ,Costa               ,-0.7,-79.6,90, 900351             
MANGLARALTO                                                                                         ,Costa               ,-1.8,-80.7,228, 240154             
MANTA                                                                                               ,Costa               ,-1,-80.8,130, 130850             
MANU                                                                                                ,Sierra              ,-3.5,-79.4,3365, 111154             
MANUEL_CORNEJO_ASTORGA_(TANDAPI)                                                                    ,Sierra              ,-0.4,-78.8,2153, 170355             
MANUEL_J_CALLE                                                                                      ,Sierra              ,-2.4,-79.4,43, 30451              
MARCABELI                                                                                           ,Costa               ,-3.8,-79.9,583, 70850              
MARCOS_ESPINEL_(CHACATA)                                                                            ,Sierra              ,-1.2,-78.4,3840, 180853             
MARIANO_ACOSTA                                                                                      ,Sierra              ,0.2,-78,3382, 100552             
MARIANO_MORENO                                                                                      ,Sierra              ,-2.8,-78.7,2789, 10354              
MARISCAL_SUCRE                                                                                      ,Sierra              ,0.6,-77.7,3402, 40651              
MARISCAL_SUCRE_(HUAQUES)                                                                            ,Costa               ,-2.1,-79.5,17, 91053              
MATAJE_(CAB_EN_SANTANDER)                                                                           ,Costa               ,1.3,-78.6,145, 80557              
MATUS                                                                                               ,Sierra              ,-1.6,-78.4,3605, 60952              
MEMBRILLO                                                                                           ,Costa               ,-0.9,-79.9,150, 130251             
MEMBRILLAL                                                                                          ,Costa               ,-1.2,-80.7,223, 130656             
MERA                                                                                                ,Oriente             ,-1.3,-78.1,1303, 160250             
MERCADILLO                                                                                          ,Sierra              ,-4,-79.9,1495, 111054             
MILAGRO                                                                                             ,Costa               ,-2.1,-79.6,10, 91050              
MILAGRO1                                                                                            ,                    ,-3.6,-79.7,1240, 70353              
MINDO                                                                                               ,Sierra              ,-0.1,-78.7,1726, 170751             
MIRA_(CHONTAHUASI)                                                                                  ,Sierra              ,0.6,-78.1,2539, 40450              
MOCACHE                                                                                             ,Costa               ,-1.2,-79.5,37, 121250             
MOCHA                                                                                               ,Sierra              ,-1.4,-78.7,3814, 180450             
MOLLETURO                                                                                           ,Sierra              ,-2.7,-79.4,1870, 10157              
MONTALVO                                                                                            ,Sierra              ,-1.8,-79.3,27, 120350             
MONTALVO1                                                                                           ,                    ,-1.3,-78.6,2870, 180158             
MONTALVO_(ANDOAS)                                                                                   ,Oriente             ,-1.9,-76.9,356, 160156             
MONTALVO_(CAB_EN_HORQUETA)                                                                          ,Costa               ,0.9,-79.3,198, 80754              
MONTECRISTI                                                                                         ,Costa               ,-1.1,-80.7,95, 130950             
MONTE_OLIVO                                                                                         ,Sierra              ,0.4,-77.8,3064, 40253              
MORALES                                                                                             ,Costa               ,-3.7,-79.5,2275, 71152              
MORASPUNGO                                                                                          ,Sierra              ,-1.1,-79.2,826, 50351              
MOROMORO_(CAB_EN_EL_VADO)                                                                           ,Costa               ,-3.7,-79.8,934, 71053              
MORRO                                                                                               ,Costa               ,-2.6,-80.3,17, 90153              
MUISNE                                                                                              ,Costa               ,0.6,-79.9,35, 80350              
MULALILLO                                                                                           ,Sierra              ,-1.1,-78.6,3026, 50553              
MULALO                                                                                              ,Sierra              ,-0.7,-78.5,3503, 50156              
MULLIQUINDIL_(SANTA_ANA)                                                                            ,Sierra              ,-1,-78.5,3089, 50554              
MULTITUD                                                                                            ,Sierra              ,-2.1,-79,2269, 60255              
MULUNCAY_GRANDE                                                                                     ,Costa               ,-3.6,-79.6,1137, 71357              
NABON                                                                                               ,Sierra              ,-3.3,-79,2824, 10450              
NAMBACOLA                                                                                           ,Sierra              ,-4.1,-79.4,1603, 110753             
NANEGAL                                                                                             ,Sierra              ,0.1,-78.6,1385, 170168             
NANEGALITO                                                                                          ,Sierra              ,0,-78.7,1818, 170169             
NARANJAL                                                                                            ,Costa               ,-2.7,-79.6,24, 91150              
NARANJITO                                                                                           ,Costa               ,-2.2,-79.4,46, 91250              
NARCISA_DE_JESUS                                                                                    ,Costa               ,-2,-80,8, 92550              
NAYON                                                                                               ,Sierra              ,-0.2,-78.4,2420, 170170             
NAZON_(CAB_EN_PAMPA_DE_DOMINGUEZ)                                                                   ,Sierra              ,-2.7,-79,3618, 30251              
NOBOA                                                                                               ,Costa               ,-1.4,-80.4,405, 131652             
NONO                                                                                                ,Sierra              ,-0.1,-78.6,2726, 170171             
NUEVA_FATIMA                                                                                        ,Sierra              ,-4.3,-79.8,1539, 111251             
NUEVA_LOJA                                                                                          ,Oriente             ,0.1,-76.9,311, 210150             
NUEVA_TARQUI                                                                                        ,Oriente             ,-3.4,-78.7,1368, 140256             
NUEVO_PARAISO                                                                                       ,Oriente             ,-4.5,-78.8,1469, 190352             
NUEVO_PARAISO_(CAB_EN_UNION_)                                                                       ,Oriente             ,-0.3,-77.1,272, 220159             
NUEVO_QUITO                                                                                         ,Oriente             ,-4,-78.6,1675, 190952             
NUEVO_ROCAFUERTE                                                                                    ,Oriente             ,-1,-75.6,220, 220250             
NULTI                                                                                               ,Sierra              ,-2.9,-78.9,2531, 10158              
OCTAVIO_CORDERO_PALACIOS_(STA_ROSA)                                                                 ,Sierra              ,-2.8,-79,2821, 10159              
OLMEDO                                                                                              ,Costa               ,-3.9,-79.6,1518, 111650             
OLMEDO1                                                                                             ,                    ,-1.4,-80.2,153, 131850             
OLMEDO_(PESILLO)                                                                                    ,Sierra              ,0.1,-78,3941, 170253             
ORIANGA                                                                                             ,Sierra              ,-3.9,-79.9,1252, 110956             
OTAVALO                                                                                             ,Sierra              ,0.2,-78.3,2661, 100450             
OTON                                                                                                ,Sierra              ,-0,-78.3,2805, 170254             
OYACACHI                                                                                            ,Oriente             ,-0.2,-78,3193, 150453             
PABLO_ARENAS                                                                                        ,Sierra              ,0.5,-78.2,2583, 100653             
PABLO_SEXTO                                                                                         ,Oriente             ,-1.9,-78.3,2849, 141150             
PACAYACU                                                                                            ,Oriente             ,0.1,-76.5,303, 210156             
PACCHA                                                                                              ,Sierra              ,-3.6,-79.7,1552, 70350              
PACCHA1                                                                                             ,                    ,-2.9,-78.9,2807, 10160              
PACHICUTZA                                                                                          ,Oriente             ,-3.7,-78.6,881, 190652             
PACTO                                                                                               ,Sierra              ,0.2,-78.8,1374, 170172             
PAJAN                                                                                               ,Costa               ,-1.6,-80.5,277, 131050             
PALANDA                                                                                             ,Oriente             ,-4.7,-79.2,2189, 190850             
PALENQUE                                                                                            ,Costa               ,-1.3,-79.7,35, 120950             
PALESTINA                                                                                           ,Costa               ,-1.6,-79.9,19, 91350              
PALETILLAS                                                                                          ,Sierra              ,-4.1,-80.3,607, 111354             
PALLATANGA                                                                                          ,Sierra              ,-2,-78.9,1958, 60850              
PALMALES                                                                                            ,Costa               ,-3.7,-80.1,93, 70254              
PALMAS                                                                                              ,Sierra              ,-2.7,-78.6,2883, 11352              
PALMA_ROJA                                                                                          ,Oriente             ,0.1,-76.2,259, 210351             
PALMIRA                                                                                             ,Sierra              ,-2.1,-78.8,3294, 60652              
PALORA_(METZERA)                                                                                    ,Oriente             ,-1.7,-78,883, 140450             
PALO_QUEMADO                                                                                        ,Sierra              ,-0.4,-78.9,1497, 50754              
PAMPANAL_DE_BOLIVAR                                                                                 ,Costa               ,1.3,-78.9,8, 80257              
PANCHO_NEGRO                                                                                        ,Sierra              ,-2.5,-79.4,53, 30452              
PANNACOCHA                                                                                          ,Oriente             ,-0.4,-76.1,280, 210452             
PANO                                                                                                ,Oriente             ,-0.9,-78.2,3507, 150154             
PANSALEO                                                                                            ,Sierra              ,-1.1,-78.6,2648, 50555              
PAN_DE_AZUCAR                                                                                       ,Oriente             ,-3.1,-78.5,1626, 140851             
PAPALLACTA                                                                                          ,Oriente             ,-0.4,-78.2,3764, 150753             
PAQUISHA                                                                                            ,Oriente             ,-3.9,-78.6,1523, 190950             
PASA                                                                                                ,Sierra              ,-1.2,-78.7,3509, 180159             
PASAJE                                                                                              ,Costa               ,-3.4,-79.8,113, 70950              
PATAQUI                                                                                             ,Sierra              ,0.2,-78.4,3015, 100454             
PATATE                                                                                              ,Sierra              ,-1.3,-78.5,2492, 180550             
PATRICIA_PILAR                                                                                      ,Costa               ,-0.6,-79.4,163, 121051             
PATUCA                                                                                              ,Oriente             ,-2.8,-78.2,1227, 140553             
PAUTE                                                                                               ,Sierra              ,-2.8,-78.8,2664, 10550              
PEDERNALES                                                                                          ,Costa               ,0.1,-79.9,360, 131750             
PEDRO_CARBO                                                                                         ,Costa               ,-1.8,-80.3,102, 91450              
PEDRO_PABLO_GOMEZ                                                                                   ,Costa               ,-1.7,-80.6,609, 130657             
PEDRO_VICENTE_MALDONADO                                                                             ,Sierra              ,0.1,-79.1,512, 170850             
PELILEO                                                                                             ,Sierra              ,-1.3,-78.5,2574, 180750             
PENIPE                                                                                              ,Sierra              ,-1.6,-78.5,3177,60950               
PENNAHERRERA                                                                                        ,Sierra              ,0.4,-78.6,2038, 100354             
PERUCHO                                                                                             ,Sierra              ,0.1,-78.4,2071, 170174             
PIARTAL                                                                                             ,Sierra              ,0.6,-77.8,3153, 40555              
PICAIGUA                                                                                            ,Sierra              ,-1.3,-78.6,2616, 180160             
PICHINCHA                                                                                           ,Costa               ,-1,-79.8,106, 131150             
PIEDRAS                                                                                             ,Costa               ,-3.6,-79.9,185, 71054              
PIFO                                                                                                ,Sierra              ,-0.3,-78.3,3943, 170175             
PILAGUIN_(PILAHUIN)                                                                                 ,Sierra              ,-1.3,-78.8,3972, 180161             
PILALO                                                                                              ,Sierra              ,-1,-79,2883, 50456              
PILLARO                                                                                             ,Sierra              ,-1.2,-78.5,3043,180850              
PIMAMPIRO                                                                                           ,Sierra              ,0.4,-77.9,2376, 100550             
PIMOCHA                                                                                             ,Costa               ,-1.8,-79.6,3, 120154             
PINDAL                                                                                              ,Sierra              ,-4.1,-80.1,737, 111450             
PINDILIG                                                                                            ,Sierra              ,-2.6,-78.7,3129, 30156              
PINGUILI                                                                                            ,Sierra              ,-1.4,-78.6,3054, 180451             
PINLLOPATA                                                                                          ,Sierra              ,-1.1,-79,2419, 50352              
PINNAS                                                                                              ,Costa               ,-3.7,-79.7,1112, 71050              
PINTAG                                                                                              ,Sierra              ,-0.4,-78.3,3401, 170176             
PIOTER                                                                                              ,Sierra              ,0.7,-77.8,2955, 40155              
PISTISHI_(NARIZ_DEL_DIABLO)                                                                         ,Sierra              ,-2.3,-78.9,2473, 60256              
PLAZA_GUTIERREZ_(CALVARIO)                                                                          ,Sierra              ,0.3,-78.4,2978, 100355             
POALO                                                                                               ,Sierra              ,-0.9,-78.7,3442, 50158              
POMASQUI                                                                                            ,Sierra              ,-0,-78.5,2481, 170177             
POMONA                                                                                              ,Oriente             ,-1.6,-77.9,928, 160157             
POMPEYA                                                                                             ,Oriente             ,-0.4,-76.7,254, 220352             
PORTOVELO                                                                                           ,Costa               ,-3.7,-79.6,736, 71150              
PORTOVIEJO                                                                                          ,Costa               ,-1.1,-80.5,53, 130150             
POSORJA                                                                                             ,Costa               ,-2.7,-80.3,18, 90156              
POZUL_(SAN_JUAN_DE_POZUL)                                                                           ,Sierra              ,-4.1,-80.1,1597, 110455             
PRESIDENTE_URBINA_(CHAGRAPAMBA_-PATZUCUL)                                                           ,Sierra              ,-1.1,-78.6,2833, 180854             
PRINCIPAL                                                                                           ,Sierra              ,-3,-78.7,3219, 11151              
PROGRESO                                                                                            ,Costa               ,-3.3,-79.7,527, 70954              
PUCAPAMBA                                                                                           ,Oriente             ,-4.9,-79.1,1092, 190256             
PUCARA                                                                                              ,Sierra              ,-3.2,-79.5,2744, 10650              
PUCAYACU                                                                                            ,Sierra              ,-0.7,-79.1,1098, 50252              
PUEBLOVIEJO                                                                                         ,Costa               ,-1.6,-79.5,11, 120450             
PUEBLO_NUEVO                                                                                        ,Costa               ,-1,-80.3,201, 130154             
PUELA                                                                                               ,Sierra              ,-1.5,-78.4,3738, 60953              
PUELLARO                                                                                            ,Sierra              ,0.1,-78.4,2616, 170178             
PUEMBO                                                                                              ,Sierra              ,-0.2,-78.4,2385, 170179             
PUERTO_AYORA                                                                                        ,                    ,-0.7,-90.3,1000, 200350             
PUERTO_BAQUERIZO_MORENO                                                                             ,                    ,-0.9,-89.6,1000, 200150             
PUERTO_BOLIVAR_(PUERTO_MONTUFAR)                                                                    ,Oriente             ,-0,-76,262, 210352             
PUERTO_DE_CAYO                                                                                      ,Costa               ,-1.3,-80.7,218, 130658             
PUERTO_EL_CARMEN_DEL_PUTUMAYO                                                                       ,Oriente             ,0,-75.8,232, 210350             
PUERTO_FRANCISCO_DE_ORELLANA_(EL_COCA)                                                              ,Oriente             ,-0.4,-77,247, 220150             
PUERTO_LIBRE                                                                                        ,Oriente             ,0.1,-77.5,985, 210254             
PUERTO_LIMON                                                                                        ,Sierra              ,-0.4,-79.4,269, 230152             
PUERTO_LOPEZ                                                                                        ,Costa               ,-1.6,-80.7,279, 131950             
PUERTO_MISAHUALLI                                                                                   ,Oriente             ,-1,-77.7,762, 150155             
PUERTO_MURIALDO                                                                                     ,Oriente             ,-0.7,-77.2,313, 220452             
PUERTO_NAPO                                                                                         ,Oriente             ,-1.1,-77.7,456, 150156             
PUERTO_PECHICHE                                                                                     ,Costa               ,-1.4,-79.5,25, 120451             
PUERTO_QUITO                                                                                        ,Sierra              ,0.2,-79.2,181, 170950             
PUERTO_RODRIGUEZ                                                                                    ,Oriente             ,-0.1,-75.5,216, 210353             
PUERTO_VILLAMIL                                                                                     ,                    ,-1,-91,1000, 200250             
